"ranks","name","year","rating","over.votes","X10","X9","X8","X7","X6","X5","X4","X3","X2","X1","men_rating","women_rating","men_votes","women_votes"
155,"Chinatown",1974,8.1,324249,60648,76433,97849,55561,18855,6869,2679,1445,1034,2876,8.2,7.9,209778,28348
156,"Raging Bull",1980,8.1,351060,68774,81329,104518,56344,20148,8246,3961,2182,1758,3800,8.2,7.7,232842,21747
157,"The Thing",1982,8.1,417876,87654,91125,124241,69347,24978,9529,3906,2224,1453,3419,8.2,7.8,271039,32139
158,"Gone with the Wind",1939,8.1,313724,86549,61771,74902,44293,20010,9794,5012,3360,2537,5496,8.1,8.5,151787,77214
159,"V for Vendetta",2005,8.1,1110617,243965,272830,302762,169303,63802,24826,11048,6699,4674,10708,8.2,8.2,680861,142929
160,"Inside Out",2015,8.1,701902,128766,170930,204752,119428,44686,15974,6457,3475,2214,5220,8.2,8.2,340996,111658
161,"Lock, Stock and Two Smoking Barrels",1998,8.1,577477,98307,147887,191923,90368,26630,9442,3959,2253,1938,4770,8.2,8.1,388161,48711
162,"Dial M for Murder",1954,8.1,174842,23989,42047,65141,29006,7808,2832,1116,730,600,1573,8.2,8.2,105145,22339
163,"El secreto de sus ojos",2009,8.1,208620,37248,55294,65585,31636,9927,3719,1568,934,727,1982,8.2,8.2,131093,29914
164,"Hauru no ugoku shiro",2004,8.1,388590,87935,93776,114614,58081,18732,6614,2711,1579,1160,3388,8,8.6,189151,74981
165,"The Bridge on the River Kwai",1957,8.1,219669,36382,52308,71916,37388,11534,4231,1745,1062,879,2224,8.2,8,144972,15900
166,"Three Billboards Outside Ebbing, Missouri",2017,8.1,498639,66506,136491,170810,81429,24175,8179,3701,2356,1691,3301,8.1,8.2,266902,65274
167,"Trainspotting",1996,8.1,681337,117043,169832,217983,108048,35721,13563,6107,3748,2974,6318,8.1,8.1,409051,91843
168,"Warrior",2011,8.1,469015,90183,119784,144307,74617,23010,7712,3107,1616,1393,3286,8.1,8.2,320780,37078
169,"Gran Torino",2008,8.1,769830,114915,198194,256140,131418,39977,13251,5640,3244,2442,4609,8.1,8.2,507674,77223
170,"Fargo",1996,8.1,671989,108225,164902,213962,112724,38459,14188,6441,3853,2758,6477,8.1,8,413915,68572
171,"Prisoners",2013,8.1,696281,96498,178731,255679,116432,30124,9178,3560,1931,1285,2863,8.1,8,400478,79832
172,"Tonari no Totoro",1988,8.1,334306,71605,75723,99507,54669,18135,6419,2570,1346,1032,3300,8.1,8.4,165125,60992
173,"Million Dollar Baby",2004,8.1,682546,104241,163268,227477,115972,37768,14092,6376,3639,2780,6933,8.1,8.1,417680,91913
174,"Catch Me If You Can",2002,8.1,961764,132500,226651,368802,168774,42403,12272,4304,2194,1449,2415,8.1,8.1,519258,123102
175,"The Gold Rush",1925,8.1,110943,21987,23846,34481,17524,5963,2583,1034,725,679,2121,8.2,8.1,70366,10630
176,"Blade Runner",1982,8.1,760359,179208,171057,191460,116334,51891,22699,10518,6207,4147,6838,8.1,7.8,471519,63732
177,"On the Waterfront",1954,8.1,154527,29735,34633,46760,24920,8967,3550,1626,984,742,2610,8.1,8,97601,14896
178,"Bacheha-Ye aseman",1997,8.1,74533,18293,17552,20345,10002,3458,1730,964,423,444,1322,8.2,8.4,40396,9653
179,"The Third Man",1949,8.1,171074,37309,37409,45643,27629,11032,4864,2343,1353,889,2603,8.1,8,108025,16271
180,"Ben-Hur",1959,8.1,238244,49001,49295,69934,39414,15144,6600,2781,1716,1354,3005,8.1,7.9,151268,23525
181,"Before Sunrise",1995,8.1,304557,61598,68197,92265,48416,17131,7022,3269,1876,1605,3178,8.1,8.1,160286,61108
182,"12 Years a Slave",2013,8.1,694369,102189,174316,234183,116347,36986,12921,5386,3218,2454,6369,8.1,8.2,393728,102760
183,"Smultronstället",1957,8.1,106988,22955,23420,29968,16121,6307,2866,1278,848,794,2431,8.1,8.1,65134,12557
184,"The General",1926,8.1,91106,18656,18626,25481,14491,5641,2893,1212,1033,762,2311,8.2,8,57313,8793
185,"Everything Everywhere All at Once",2022,8.1,189396,56327,45672,38969,21641,10155,5206,2861,2170,1820,4575,8.1,8.2,87696,16192
186,"Gone Girl",2014,8.1,968389,127231,251422,337358,162227,49871,17184,7761,4653,3226,7456,8.1,8.1,515691,149608
187,"Harry Potter and the Deathly Hallows: Part 2",2011,8.1,861896,205571,179675,241415,138913,50100,19230,7862,4621,3425,11084,8,8.5,453373,150091
188,"The Deer Hunter",1978,8.1,337308,62149,81096,100178,53329,19893,8541,4135,2588,1771,3628,8.1,8.1,224278,25397
189,"In the Name of the Father",1993,8.1,174146,24327,42675,63525,29118,7797,2753,1139,681,689,1442,8.1,8.2,110447,18434
190,"The Grand Budapest Hotel",2014,8.1,795979,127627,206251,251422,128261,44978,16935,7674,4390,3116,5325,8.1,8.1,427772,123156
191,"Barry Lyndon",1975,8.1,166577,37891,34160,45195,26795,10460,4558,2153,1296,1085,2984,8.1,7.7,107201,13441
192,"Mr. Smith Goes to Washington",1939,8.1,115443,22709,26157,32716,18636,6786,3026,1403,948,724,2338,8.1,8.2,69836,13917
193,"Le salaire de la peur",1953,8.1,61027,11075,13446,17749,9410,3251,1705,731,535,534,2591,8.2,7.8,40534,4547
194,"Sherlock Jr.",1924,8.1,49703,9664,10494,14779,7491,2798,1400,598,442,635,1402,8.2,8.2,31192,4889
195,"Hacksaw Ridge",2016,8.1,514693,98130,130002,159372,81416,25652,9272,4154,2080,1458,3157,8,8.3,282823,47237
196,"Salinui chueok",2003,8.1,179628,29619,44335,59970,29327,8697,3230,1321,780,599,1750,8.1,7.9,107498,14180
197,"Klaus",2019,8.1,146292,30646,36501,45575,23173,6333,1882,658,370,275,879,8,8.4,69203,19602
198,"Relatos salvajes",2014,8.1,196681,30274,49528,67903,32487,9172,3160,1336,785,571,1465,8.1,8.2,115909,26740
199,"Det sjunde inseglet",1957,8.1,184109,44159,39799,46848,27145,11254,5763,2536,1602,1352,3651,8.1,8.1,114721,19596
200,"Room",2015,8.1,416269,58624,103428,144878,73421,21136,6793,2678,1565,1089,2657,8,8.3,207439,73082
201,"Mad Max: Fury Road",2015,8.1,986505,193331,233565,264820,155599,65623,28790,14484,9500,7056,13737,8.1,7.9,564677,93671
202,"How to Train Your Dragon",2010,8.1,731588,134818,165736,236802,130906,39125,12154,4369,2186,1440,4052,8,8.4,397550,125240
203,"The Big Lebowski",1998,8.1,800189,175348,173654,213861,130717,53882,22369,10385,6278,4738,8957,8.1,7.8,504519,76378
204,"Mary and Max.",2009,8.1,176725,32716,42990,53809,27837,9340,3893,1708,1144,902,2386,8,8.4,101469,34117
205,"Monsters, Inc.",2001,8.1,897800,141342,187213,322010,168365,49407,15299,5471,2875,1968,3850,8,8.3,473816,145970
206,"Jaws",1975,8.1,596722,110939,112259,180417,116736,42517,16071,6576,3602,2384,5221,8.1,7.7,363765,65819
207,"Dead Poets Society",1989,8.1,482575,88698,109675,157576,79884,26179,9749,4315,2347,1546,2606,8,8.3,251541,80564
208,"Tôkyô monogatari",1953,8.1,61445,14908,11859,16115,8988,3609,1914,919,641,555,1937,8.2,8.1,36702,6049
209,"La passion de Jeanne d'Arc",1928,8.1,54566,14286,9642,12830,7644,3365,1927,1042,792,706,2332,8.2,8.1,32249,5610
